adjective;Frame_realisation;Frame_frequency
enfumé;SUJ:NP;1
enclin;SUJ:NP,P-OBJ:VPinf[à];2
enclin;SUJ:NP;1
précis;SUJ:NP;22
primaire;SUJ:NP;1
rousseauiste;SUJ:NP;1
médian;SUJ:NP;1
tatillon;SUJ:NP;1
utilisable;SUJ:NP;1
social-démocrate;SUJ:NP;3
à venir;SUJ:NP;7
civilisé;SUJ:NP;2
seul;SUJ:NP,P-OBJ:VPinf[à];1
seul;SUJ:NP;114
seul;SUJ:NP,P-OBJ:PP[à];1
inacceptable;SUJ:NP;8
synonyme;SUJ:NP,P-OBJ:PP[de];3
ordinaire;SUJ:NP;5
progressiste;SUJ:NP;1
flexible;SUJ:NP;6
creux;SUJ:NP;1
neuf;SUJ:NP;7
apathique;SUJ:NP;2
sceptique;SUJ:NP;4
forcé;SUJ:NP;1
hypothécaire;SUJ:NP;1
fidèle;SUJ:NP;7
fidèle;SUJ:NP,P-OBJ:PP[à];3
microéconomique;SUJ:NP;1
métallurgique;SUJ:NP;2
compétent;SUJ:NP;6
compétent;SUJ:NP,P-OBJ:PP[dans];1
maximal;SUJ:NP;7
didactique;SUJ:NP;1
anglais;SUJ:NP;13
préliminaire;SUJ:NP;3
opportun;SUJ:NP;1
télévisuel;SUJ:NP;3
balbutiant;SUJ:NP;1
autorisé;SUJ:NP;1
fracassant;SUJ:NP;1
profitable;SUJ:NP,P-OBJ:PP[pour];1
picard;SUJ:NP;2
subalterne;SUJ:NP;1
charbonnier;SUJ:NP;3
inclus;SUJ:NP;1
infinitésimal;SUJ:NP;1
qualifié;SUJ:NP;21
prêt;SUJ:NP,P-OBJ:VPinf[à];21
prêt;SUJ:VPinf[à];1
prêt;SUJ:NP;5
prêt;SUJ:NP,P-OBJ:PP[à];3
imprévisible;SUJ:NP;5
factice;SUJ:NP;1
vénézuélien;SUJ:NP;1
délibéré;SUJ:NP;3
polytechnique;SUJ:NP;1
casanier;SUJ:NP;1
sourcilleux;SUJ:NP;1
improbable;SUJ:NP;3
alternatif;SUJ:NP;4
indonésien;SUJ:NP;1
limpide;SUJ:NP;1
cardiaque;SUJ:NP;2
observable;SUJ:NP;1
authentique;SUJ:NP;1
opérationnel;SUJ:NP;12
énergétique;SUJ:NP;6
sélectif;SUJ:NP;4
latent;SUJ:NP;2
courant;SUJ:NP;12
courant;SUJ:NP,P-OBJ:PP[en];1
perceptible;SUJ:NP;3
méprisant;SUJ:NP;1
moyen;SUJ:NP;68
moyen;SUJ:NP,P-OBJ:PP[par];1
chargé;SUJ:NP;1
chargé;SUJ:NP,P-OBJ:PP[de];1
anachronique;SUJ:NP;3
suprême;SUJ:NP;1
ibérique;SUJ:NP;3
redoutable;SUJ:NP;6
africain;SUJ:NP;4
monstrueux;SUJ:NP;2
élémentaire;SUJ:NP;1
honnête;SUJ:NP;1
différé;SUJ:NP;1
raisonné;SUJ:NP;1
suédois;SUJ:NP;9
matérialiste;SUJ:NP;1
pair;SUJ:NP;1
transalpin;SUJ:NP;3
provincial;SUJ:NP;2
impressionnant;SUJ:NP;7
impressionnant;SUJ:NP,P-OBJ:PP[par];1
applicable;SUJ:NP;4
applicable;SUJ:NP,P-OBJ:PP[à];3
applicable;SUJ:NP,P-OBJ:PP[sur];1
applicable;SUJ:NP,P-OBJ:PP[pour];1
géant;SUJ:NP;7
concessionnaire;SUJ:NP,P-OBJ:PP[de];1
prochain;SUJ:NP;123
hindou;SUJ:NP;1
ratatiné;SUJ:NP;1
analogique;SUJ:NP;1
honorable;SUJ:NP;5
indu;SUJ:NP;1
maîtrisable;SUJ:NP;2
yougoslave;SUJ:NP;2
long terme;SUJ:NP;1
sérieux;SUJ:NP;36
juste;SUJ:NP;10
bienfaisant;SUJ:NP;1
curieux;SUJ:NP;6
mémorable;SUJ:NP;1
pénal;SUJ:NP;3
marié;SUJ:NP;1
menacé;SUJ:NP;2
marseillais;SUJ:NP;5
convertible;SUJ:NP;3
convertible;SUJ:NP,P-OBJ:PP[en];2
régulateur;SUJ:NP;1
concis;SUJ:NP;1
inextricable;SUJ:NP;1
formé;SUJ:NP;1
formé;SUJ:NP,P-OBJ:PP[à];1
barbare;SUJ:NP;1
technico-économique;SUJ:NP;1
remarqué;SUJ:NP;2
membre;SUJ:NP;6
continental;SUJ:NP;6
unifié;SUJ:NP;1
passionné;SUJ:NP;2
jaloux;SUJ:NP;1
invisible;SUJ:NP;4
colonial;SUJ:NP;1
rustique;SUJ:NP;1
formidable;SUJ:NP;12
chronique;SUJ:NP;2
carré;SUJ:NP;3
franco-français;SUJ:NP;2
moral;SUJ:NP;10
expatrié;SUJ:NP;1
pluriannuel;SUJ:NP;4
aggravant;SUJ:NP;1
inca;SUJ:NP;1
comparable;SUJ:NP,P-OBJ:PP[à];4
comparable;SUJ:NP;3
napoléonien;SUJ:NP;1
indépassable;SUJ:NP;1
mobilisable;SUJ:NP;2
québécois;SUJ:NP;1
traditionnel;SUJ:NP;32
traditionnel;SUJ:NP,P-OBJ:PP[à];1
incapable;SUJ:NP,P-OBJ:VPinf[de];9
soudain;SUJ:NP;3
efficace;SUJ:NP,P-OBJ:VPinf[à];1
efficace;SUJ:NP;20
tertiaire;SUJ:NP;4
de pointe;SUJ:NP;2
constitutif;SUJ:NP;1
constitutif;SUJ:NP,P-OBJ:PP[de];2
disponible;SUJ:NP;21
disponible;SUJ:NP,P-OBJ:PP[sur];1
pêcheur;SUJ:NP;1
ferroviaire;SUJ:NP;2
régional;SUJ:NP;44
inconsidéré;SUJ:NP;1
transversal;SUJ:NP;2
touristique;SUJ:NP;8
implicite;SUJ:NP;1
new-yorkais;SUJ:NP;1
laxiste;SUJ:NP;1
irlandais;SUJ:NP;4
gagnant;SUJ:NP;1
adressé;SUJ:NP;1
envahissant;SUJ:NP;2
hasardeux;SUJ:NP;3
dégressif;SUJ:NP;4
est-européen;SUJ:NP;1
toulousain;SUJ:NP;1
prétendu;SUJ:NP;8
conservateur;SUJ:NP;3
équivalent;SUJ:NP;7
équivalent;SUJ:NP,P-OBJ:PP[à];3
exigeant;SUJ:NP;5
périodique;SUJ:NP;2
pélagique;SUJ:NP;1
conventionnel;SUJ:NP;6
hardi;SUJ:NP;1
élevé;SUJ:NP,P-OBJ:PP[à];1
élevé;SUJ:NP;72
élevé;SUJ:NP,P-OBJ:PP[loc];1
élevé;SUJ:NP,P-OBJ:PP[en];2
élevé;SUJ:NP,P-OBJ:PP[pour];1
disproportionné;SUJ:NP;2
méridional;SUJ:NP;4
déterminant;SUJ:NP;4
déterminant;SUJ:NP,P-OBJ:PP[pour];1
inquiétant;SUJ:NP;12
court terme;SUJ:NP;4
fâcheux;SUJ:NP;2
fâcheux;SUJ:VPinf[de];1
négatif;SUJ:NP;23
négatif;SUJ:NP,P-OBJ:PP[de];2
onéreux;SUJ:NP;5
libératoire;SUJ:NP;1
inéluctable;SUJ:NP;8
encourageant;SUJ:NP;5
encourageant;SUJ:NP,P-OBJ:PP[pour];1
universitaire;SUJ:NP;3
maison;SUJ:NP;1
puissant;SUJ:NP;22
immuable;SUJ:NP;2
potentiel;SUJ:NP;18
ravi;SUJ:NP;1
parfait;SUJ:NP;3
tchécoslovaque;SUJ:NP;5
anglo-américain;SUJ:NP;1
ouvert;SUJ:NP;9
voyageur;SUJ:NP;1
externe;SUJ:NP;2
simultané;SUJ:NP;2
généraliste;SUJ:NP;10
discriminant;SUJ:NP;1
plausible;SUJ:NP;4
inachevé;SUJ:NP;1
ouest-allemand;SUJ:NP;1
scandaleux;SUJ:NP;1
scandaleux;SUJ:SsubS[que];2
forfaitaire;SUJ:NP;5
intersyndical;SUJ:NP;3
chose;SUJ:NP;2
opportuniste;SUJ:NP;1
blanc;SUJ:NP;4
tripartite;SUJ:NP;1
global;SUJ:NP;39
majuscule;SUJ:NP;1
successif;SUJ:NP;23
encombrant;SUJ:NP;3
postal;SUJ:NP;4
végétarien;SUJ:NP;1
vivant;SUJ:NP;3
payant;SUJ:NP;3
raccordable;SUJ:NP;1
catégoriel;SUJ:NP;1
hebdomadaire;SUJ:NP;8
prudent;SUJ:NP;15
prudent;SUJ:VPinf[de];1
démesuré;SUJ:NP;1
mirifique;SUJ:NP,P-OBJ:PP[pour];1
impénétrable;SUJ:NP;2
créateur;SUJ:NP;2
créateur;SUJ:NP,P-OBJ:PP[à],P-OBJ:VPinf[sans];1
créateur;SUJ:NP,P-OBJ:PP[de];1
anglo-néerlandais;SUJ:NP;3
ironique;SUJ:NP;1
réversible;SUJ:NP;1
amiable;SUJ:NP;1
anticoncurrentiel;SUJ:NP;1
nécessaire;SUJ:NP,P-OBJ:VPinf[pour];9
nécessaire;SUJ:VPinf[de];3
nécessaire;SUJ:NP,P-OBJ:PP[pour];2
nécessaire;SUJ:NP,P-OBJ:VPinf[de];2
nécessaire;SUJ:NP;38
nécessaire;SUJ:NP,P-OBJ:PP[à];14
outre-Atlantique;SUJ:NP;1
inéquitable;SUJ:NP;2
pauvre;SUJ:NP;16
présidentiel;SUJ:NP;4
incivique;SUJ:NP;2
viable;SUJ:NP;2
allié;SUJ:NP;2
comparé;SUJ:NP;1
comparé;SUJ:NP,P-OBJ:PP[à];1
frauduleux;SUJ:NP;2
libre;SUJ:NP,P-OBJ:VPinf[de];1
libre;SUJ:NP;19
libre;SUJ:NP,P-OBJ:PP[de];1
prioritaire;SUJ:NP;14
monumental;SUJ:NP;2
visible;SUJ:NP;2
fromager;SUJ:NP;2
chrétien;SUJ:NP;2
inadapté;SUJ:NP;2
habitable;SUJ:NP;1
responsable;SUJ:NP;16
responsable;SUJ:NP,P-OBJ:PP[de];11
géologique;SUJ:NP;1
diplômé;SUJ:NP;2
salarié;SUJ:NP;10
cruel;SUJ:NP;2
usuel;SUJ:NP;1
usuel;SUJ:NP,P-OBJ:PP[chez];1
mirobolant;SUJ:NP;2
infantile;SUJ:NP;1
performant;SUJ:NP;10
rhodanien;SUJ:NP;2
mensonger;SUJ:NP;2
malhonnête;SUJ:NP;2
relatif;SUJ:NP;16
relatif;SUJ:NP,P-OBJ:PP[à];11
atomiser;SUJ:NP;1
prodigieux;SUJ:NP;2
symbolique;SUJ:NP;9
déconcertant;SUJ:NP;1
déconcertant;SUJ:VPinf[de];1
méditerranéen;SUJ:NP;2
chic;SUJ:NP;2
alambiqué;SUJ:NP;1
nordique;SUJ:NP;2
minimaliste;SUJ:NP;1
impénitent;SUJ:NP;1
impayé;SUJ:NP;2
macroéconomique;SUJ:NP;2
vinicole;SUJ:NP;1
défunt;SUJ:NP;3
exact;SUJ:NP;5
exact;SUJ:VPinf[de];1
supplémentaire;SUJ:NP;54
étouffant;SUJ:NP;1
diplomatique;SUJ:NP;4
paysan;SUJ:NP;14
observateur;SUJ:NP;1
textile;SUJ:NP;6
incontesté;SUJ:NP;2
captif;SUJ:NP;1
iconoclaste;SUJ:NP;3
justifié;SUJ:NP;1
posé;SUJ:NP;1
structuré;SUJ:NP;1
cyclique;SUJ:NP;5
hexagonal;SUJ:NP;5
élitiste;SUJ:NP;3
électronique;SUJ:NP;9
latino-américain;SUJ:NP;1
sportif;SUJ:NP;8
perdu;SUJ:NP;5
distancier;SUJ:NP;1
contractuel;SUJ:NP;8
orthodoxe;SUJ:NP;3
circonspect;SUJ:NP;2
kazakh;SUJ:NP;1
bordelais;SUJ:NP;2
quantitatif;SUJ:NP;2
superficiel;SUJ:NP;1
télévisé;SUJ:NP;8
périlleux;SUJ:NP;3
espion;SUJ:NP;1
désespérant;SUJ:NP;1
indivisible;SUJ:NP;1
mortel;SUJ:NP;2
accessible;SUJ:NP;2
accessible;SUJ:NP,P-OBJ:PP[à];2
accessible;SUJ:NP,P-OBJ:PP[en];1
adolescent;SUJ:NP;1
sûr;SUJ:NP,P-OBJ:VPinf[de];1
sûr;SUJ:NP;4
sûr;SUJ:SsubI[que];1
sûr;SUJ:NP,P-OBJ:PP[de];2
donné;SUJ:NP;2
néfaste;SUJ:NP;3
souverain;SUJ:NP;2
couvert;SUJ:NP;1
catastrophique;SUJ:NP,P-OBJ:PP[depuis];1
catastrophique;SUJ:NP;5
catastrophique;SUJ:NP,P-OBJ:PP[pour];2
capitalistique;SUJ:NP;1
lointain;SUJ:NP;5
ficelé;SUJ:NP;1
intenable;SUJ:NP;1
insensé;SUJ:NP;1
extérieur;SUJ:NP;34
extérieur;SUJ:NP,P-OBJ:PP[à];1
subtil;SUJ:NP;3
réformateur;SUJ:NP;1
grincheux;SUJ:NP;1
meilleur;SUJ:NP;72
meilleur;SUJ:NP,OBJ:Ssub[que];2
professionnel;SUJ:NP;40
incantatoire;SUJ:NP;1
incontestable;SUJ:NP;1
bien;SUJ:NP;3
informel;SUJ:NP;1
confédéral;SUJ:NP;3
fort;SUJ:NP;143
fort;SUJ:NP,P-OBJ:PP[en];1
fort;SUJ:NP,P-OBJ:PP[loc];1
fort;SUJ:NP,P-OBJ:PP[de];7
cinématographique;SUJ:NP;2
aéronautique;SUJ:NP;7
maghrébin;SUJ:NP;1
consulaire;SUJ:NP;1
intime;SUJ:NP;1
logique;SUJ:NP;6
logique;SUJ:SsubS[que];1
initiatique;SUJ:NP;1
étonnant;SUJ:NP;10
koweïtien;SUJ:NP;2
agité;SUJ:NP;3
précieux;SUJ:NP;5
contraventionnel;SUJ:NP;1
municipal;SUJ:NP;1
matériel;SUJ:NP;1
agro-industriel;SUJ:NP;1
excessif;SUJ:NP;12
essentiel;SUJ:NP;19
différent;SUJ:NP;58
différent;SUJ:NP,P-OBJ:PP[de];3
ministériel;SUJ:NP;2
écrasant;SUJ:NP;4
concurrent;SUJ:NP;9
international;SUJ:NP;114
divergent;SUJ:NP;1
divergent;SUJ:NP,P-OBJ:PP[selon];1
dramatique;SUJ:NP;9
convaincant;SUJ:NP;1
confiant;SUJ:NP;6
confiant;SUJ:NP,P-OBJ:PP[dans];1
notable;SUJ:NP;11
rival;SUJ:NP;1
décourageant;SUJ:NP;2
solitaire;SUJ:NP;1
bizarre;SUJ:NP;1
unanime;SUJ:NP;1
verbal;SUJ:NP;1
stable;SUJ:NP;28
contingent;SUJ:NP;1
musical;SUJ:NP;2
soigneux;SUJ:NP;1
attrayant;SUJ:NP;3
anémié;SUJ:NP;1
acquérir;SUJ:NP;2
gris;SUJ:NP;2
garni;SUJ:NP;1
élégant;SUJ:NP;1
inné;SUJ:NP;1
hégémonique;SUJ:NP;1
incohérent;SUJ:NP;1
pilote;SUJ:NP;2
boulimique;SUJ:NP;1
tel;SUJ:NP,OBJ:SsubI[que];7
tel;SUJ:NP;98
tel;SUJ:NP,OBJ:Ssub[que];10
incontrôlable;SUJ:NP;1
convivial;SUJ:NP;3
nucléaire;SUJ:NP;3
exsangue;SUJ:NP;3
détaché;SUJ:NP;1
sempiternel;SUJ:NP;1
faste;SUJ:NP;4
prononcé;SUJ:NP;2
régulier;SUJ:NP;9
sortant;SUJ:NP;7
sortant;SUJ:NP,P-OBJ:PP[de];1
saharien;SUJ:NP;1
désireux;SUJ:NP,P-OBJ:VPinf[de];7
désireux;SUJ:VPinf[de];1
harmonieux;SUJ:NP;1
indigène;SUJ:NP;1
nul et non avenu;SUJ:NP;1
montable;SUJ:NP;1
décroissant;SUJ:NP;1
incitatif;SUJ:NP;1
australien;SUJ:NP;3
libérien;SUJ:NP;1
continu;SUJ:NP;8
imparfait;SUJ:NP;4
vendéen;SUJ:NP;1
garanti;SUJ:NP;2
majeur;SUJ:NP;33
contagieux;SUJ:NP;1
périgourdin;SUJ:NP;2
intelligible;SUJ:NP;1
centriste;SUJ:NP;1
inouï;SUJ:NP;1
écolo;SUJ:NP;1
nord-américaines;SUJ:NP;1
médical;SUJ:NP;3
pertinent;SUJ:NP;3
pertinent;SUJ:VPinf[de];1
naval;SUJ:NP;1
optique;SUJ:NP;2
intensif;SUJ:NP;4
accéléré;SUJ:NP;1
paralysant;SUJ:NP;2
standard;SUJ:NP;1
cité;SUJ:NP;2
célèbre;SUJ:NP;13
célèbre;SUJ:NP,P-OBJ:PP[pour];1
politique;SUJ:NP;74
insuffisant;SUJ:NP;17
insuffisant;SUJ:NP,P-OBJ:VPinf[pour];5
analysable;SUJ:NP;1
due;SUJ:NP;1
belge;SUJ:NP;9
accentué;SUJ:NP;2
bref;SUJ:NP;6
satisfait;SUJ:NP;2
satisfait;SUJ:NP,P-OBJ:PP[de];2
nigérian;SUJ:NP;3
balnéaire;SUJ:NP;4
germanique;SUJ:NP;5
productif;SUJ:NP;11
impitoyable;SUJ:NP;3
spontané;SUJ:NP;4
permissif;SUJ:NP;1
constitutionnel;SUJ:NP;3
favorable;SUJ:NP;17
favorable;SUJ:NP,P-OBJ:PP[à];14
fatidique;SUJ:NP;5
horloger;SUJ:NP;1
fermé;SUJ:NP;7
fermé;SUJ:NP,P-OBJ:PP[à];1
disparu;SUJ:NP;1
ukrainien;SUJ:NP;9
équilibré;SUJ:NP;4
correspondant;SUJ:NP;6
déloyal;SUJ:NP;4
mâle;SUJ:NP;2
étrange;SUJ:NP;2
rigoureux;SUJ:NP;8
monopoliste;SUJ:NP;1
propre;SUJ:NP,P-OBJ:VPinf[à];2
propre;SUJ:NP;49
propre;SUJ:NP,P-OBJ:PP[à];8
géographique;SUJ:NP;2
assisté;SUJ:NP;1
assisté;SUJ:NP,P-OBJ:PP[par];1
défensif;SUJ:NP;1
marginal;SUJ:NP;2
rocailleux;SUJ:NP;1
numérique;SUJ:NP;2
dégradé;SUJ:NP;1
concerter;SUJ:NP;1
patronal;SUJ:NP;16
producteur;SUJ:NP;10
producteur;SUJ:NP,P-OBJ:PP[de];2
sis;SUJ:NP,P-OBJ:PP[à];1
interministériel;SUJ:NP;7
industriel;SUJ:NP;83
irakien;SUJ:NP;3
tiers;SUJ:NP;2
noble;SUJ:NP;2
solvable;SUJ:NP;2
extraordinaire;SUJ:NP;18
atypique;SUJ:NP;3
préalable;SUJ:NP;3
officiel;SUJ:NP;32
délicat;SUJ:NP;18
i;SUJ:NP;2
unique;SUJ:NP;21
unique;SUJ:NP,P-OBJ:PP[en];1
musulman;SUJ:NP;1
protectionniste;SUJ:NP;7
teigneux;SUJ:NP;1
fait;SUJ:NP;2
illégal;SUJ:NP;1
économique;SUJ:NP;207
fortuné;SUJ:NP;2
scrupuleux;SUJ:NP;1
exécutif;SUJ:NP;1
multiplicateur;SUJ:NP;1
dominical;SUJ:NP;4
enviable;SUJ:NP;3
complémentaire;SUJ:NP;19
institutionnel;SUJ:NP;3
astucieux;SUJ:NP;1
grave;SUJ:NP;26
grave;SUJ:NP,P-OBJ:PP[pour];1
grave;SUJ:NP,P-OBJ:PP[en];1
dur;SUJ:NP;17
surnuméraire;SUJ:NP;1
travailleur;SUJ:NP;1
rénal;SUJ:NP;1
secret;SUJ:NP;6
exportateur;SUJ:NP;2
originel;SUJ:NP;1
vide;SUJ:NP;4
inefficace;SUJ:NP;1
raffiné;SUJ:NP;1
obscène;SUJ:NP;1
abusif;SUJ:NP;5
hongrois;SUJ:NP;11
distant;SUJ:NP,P-OBJ:PP[de];1
sensible;SUJ:NP;33
sensible;SUJ:NP,P-OBJ:PP[à];10
détaillé;SUJ:NP;1
spécialiste;SUJ:NP;1
spécialiste;SUJ:NP,P-OBJ:PP[en];1
spécialiste;SUJ:NP,P-OBJ:PP[de];2
décevant;SUJ:NP;3
animé;SUJ:NP;1
contributif;SUJ:NP;1
aléatoire;SUJ:NP;10
systématique;SUJ:NP;12
vocal;SUJ:NP;1
public;SUJ:NP;127
ridicule;SUJ:NP;1
ferme;SUJ:NP;7
ferme;SUJ:NP,P-OBJ:PP[dans];1
ferme;SUJ:NP,P-OBJ:PP[vis-à-vis de];1
réaliste;SUJ:NP;5
limité;SUJ:NP;14
limité;SUJ:NP,P-OBJ:PP[de];1
intense;SUJ:NP;4
inverse;SUJ:NP;9
inverse;SUJ:NP,P-OBJ:PP[de];1
incertain;SUJ:NP;8
allergique;SUJ:NP,P-OBJ:PP[à];2
particulier;SUJ:NP;31
particulier;SUJ:NP,P-OBJ:PP[en];1
longue;SUJ:NP;1
noir;SUJ:NP;13
40;SUJ:NP;1
nutritif;SUJ:NP;1
lancinant;SUJ:NP;2
livrable;SUJ:NP,P-OBJ:PP[sur];1
léger;SUJ:NP;35
imaginatif;SUJ:NP;1
argentin;SUJ:NP;3
sale;SUJ:NP;2
avant;SUJ:NP;1
feu;SUJ:NP;2
